gene,loading,n_mean,t_mean,expr_delta,pc1_shift,direction,abs_gap
RPL10,0.0165122648396459,0.0929357942521709,0.9952913752913752,-0.9023555810392044,-0.0148999343336519,restore_normal,0.9023555810392043
AKR1C1,0.0165000161818378,0.0890550623989141,0.9425,-0.853444937601086,-0.0140818552807254,restore_normal,0.8534449376010859
GNAO1,0.01656469238576,0.0841430010350758,0.9273892773892776,-0.8432462763542016,-0.0139681151732449,restore_normal,0.8432462763542018
AKR1C3,-0.0161595657012977,0.9629449247562968,0.1050743006993006,0.8578706240569962,-0.0138628167126623,restore_normal,0.8578706240569962
PRR11,0.0163871610641217,0.1214908304263077,0.9513286713286716,-0.8298378409023637,-0.01359868635597,restore_normal,0.8298378409023639
LARP1,0.0164040818185815,0.1150304367977512,0.9423426573426572,-0.827312220544906,-0.013571297355331,restore_normal,0.827312220544906
SPCS2,0.016324703293901,0.149836603580913,0.9729341491841492,-0.8230975456032361,-0.013436823213911,restore_normal,0.8230975456032362
RAB3GAP2,-0.0165456378624377,0.8496881392289487,0.0381483100233099,0.8115398292056387,-0.0134274441249811,restore_normal,0.8115398292056388
UGT2B17,-0.0160570333995657,0.8736741769433897,0.0417074592074591,0.8319667177359306,-0.0133589173740129,restore_normal,0.8319667177359306
POMP,0.0163080211081581,0.1430117390666761,0.9589073426573426,-0.8158956035906664,-0.01330564272541,restore_normal,0.8158956035906665
ABHD17A,0.0164206032228506,0.1046047497888637,0.910568181818182,-0.8059634320293182,-0.0132344057294804,restore_normal,0.8059634320293183
SYNGR3,0.0158605568527018,0.1216952766499933,0.950034965034965,-0.8283396883849716,-0.0131379287209791,restore_normal,0.8283396883849716
SOX18,-0.0164543169155636,0.89972073288084,0.1081730769230768,0.7915476559577631,-0.0130243759849005,restore_normal,0.7915476559577632
KRTAP5-8,0.0163866153295014,0.1074306033518476,0.8982488344988345,-0.7908182311469869,-0.0129588341493624,restore_normal,0.7908182311469869
GGH,-0.0163084661639149,0.8838167433964405,0.0898412004662004,0.79397554293024,-0.0129485232768538,restore_normal,0.7939755429302401
ZNF160,0.0162860599709663,0.1250231473800376,0.9066011072261072,-0.7815779598460696,-0.0127288255260385,restore_normal,0.7815779598460696
