gene,group,her2_mean,lum_mean,pct_change,pval
ESR1,LUMINAL SWITCH GENES,0.23128752410411835,3.0772488117218018,-92.48395114418106,0.0
FOXA1,LUMINAL SWITCH GENES,2.319366931915283,2.0572516918182373,12.74103898611373,0.0008637817
GATA3,LUMINAL SWITCH GENES,2.4062752723693848,4.3481831550598145,-44.660213552198364,0.0
SPDEF,LUMINAL SWITCH GENES,4.833982467651367,4.719568252563477,2.4242517316228134,0.001677598
PGR,LUMINAL SWITCH GENES,0.08313121646642685,1.7219562530517578,-95.17228057802882,0.0
KRT8,LUMINAL SWITCH GENES,6.3247785568237305,6.891819477081299,-8.227739019329501,1.971784e-19
KRT18,LUMINAL SWITCH GENES,6.711798191070557,7.586156845092773,-11.525712846127215,0.0
CDH1,LUMINAL SWITCH GENES,2.25321364402771,3.3555312156677246,-32.85076194472719,3.14e-43
ERBB2,HER2 AMPLICON,3.3173370361328125,2.7495648860931396,20.649527236522903,1.4629339e-19
GRB7,HER2 AMPLICON,2.5329012870788574,2.4037892818450928,5.371186493296171,0.0041924887
STARD3,HER2 AMPLICON,2.3197035789489746,1.5266302824020386,51.94927060526368,4.9609683e-23
MIEN1,HER2 AMPLICON,4.864968776702881,3.5501246452331543,37.03656245521414,0.0
KRT5,FALSE ATTRACTOR / BASAL,0.13793352246284485,0.3892105519771576,-64.56069298168975,4.0424277e-16
KRT14,FALSE ATTRACTOR / BASAL,0.0888039767742157,0.7069947719573975,-87.43923147715059,0.0
SOX10,FALSE ATTRACTOR / BASAL,0.0016389276133850217,0.05122748762369156,-96.80068711269952,3.3444883e-10
FOXC1,FALSE ATTRACTOR / BASAL,0.0632825419306755,0.31588155031204224,-79.96636971416592,3.0728754e-19
VIM,FALSE ATTRACTOR / BASAL,0.6907548308372498,2.2775328159332275,-69.67091644059538,0.0
CDH3,FALSE ATTRACTOR / BASAL,0.9764949679374695,0.217535138130188,348.89068328495404,1.77474e-40
ZEB1,FALSE ATTRACTOR / BASAL,0.025746911764144897,0.03597665950655937,-28.434401311076023,0.3194801
ZEB2,FALSE ATTRACTOR / BASAL,0.02403303049504757,0.04339076206088066,-44.61256416440133,0.11595818
SNAI1,FALSE ATTRACTOR / BASAL,0.2822115421295166,0.1591915786266327,77.2779342752888,1.7742592e-05
EZH2,EPIGENETIC AXIS,0.726334273815155,0.26317062973976135,175.9936678851273,7.098666e-20
EED,EPIGENETIC AXIS,0.4770509600639343,0.44897201657295227,6.254052024291269,0.34175923
SUZ12,EPIGENETIC AXIS,1.0299837589263916,1.1416895389556885,-9.78425186688449,0.12437371
HDAC1,EPIGENETIC AXIS,1.6168227195739746,2.1686291694641113,-25.444942715885965,1.5418462e-12
HDAC2,EPIGENETIC AXIS,3.1911377906799316,2.444687843322754,30.533548460838382,6.501295e-22
KDM1A,EPIGENETIC AXIS,0.9492798447608948,0.8237565159797668,15.237916343742894,0.02633056
DNMT3A,EPIGENETIC AXIS,0.7926552295684814,0.4359399974346161,81.8266812481153,2.2967985e-11
MKI67,PROLIFERATION,0.12119542062282562,0.009681842289865017,1151.7805702091778,7.9387667e-07
TOP2A,PROLIFERATION,0.053686343133449554,0.04129796102643013,29.997563557898243,0.3201625
PCNA,PROLIFERATION,1.5225855112075806,1.4686251878738403,3.674206583087393,0.42558986
CCNB1,PROLIFERATION,0.3890848755836487,0.3378947377204895,15.149729234760756,0.16347557
CDK2,PROLIFERATION,0.41682669520378113,0.7802641987800598,-46.57877474636308,1.0914399e-12
PIK3CA,PI3K / SIGNALING,0.352142333984375,0.5300930142402649,-33.56970861254053,0.000109277746
AKT1,PI3K / SIGNALING,2.0775041580200195,1.3968400955200195,48.72884624969191,2.3487076e-18
MTOR,PI3K / SIGNALING,0.843610942363739,0.5865497589111328,43.82598058343983,1.0157461e-06
PTEN,PI3K / SIGNALING,0.8950909972190857,0.9649550914764404,-7.2401394504751915,0.4478137
EGFR,PI3K / SIGNALING,1.24376380443573,0.38024085760116577,227.09893731102207,2.0501521e-37
ERBB3,PI3K / SIGNALING,1.9530478715896606,3.5243823528289795,-44.58467680097273,0.0
BRCA1,DNA REPAIR / COMPOSITE TYPE,0.19199740886688232,0.20605792105197906,-6.823572766974539,0.5094148
BRCA2,DNA REPAIR / COMPOSITE TYPE,0.07145848870277405,0.17940165102481842,-60.168433069276226,9.824212e-07
TP53,DNA REPAIR / COMPOSITE TYPE,0.5134468674659729,0.861091136932373,-40.372529057130784,8.8979275e-11
RB1,DNA REPAIR / COMPOSITE TYPE,0.5594085454940796,1.14003324508667,-50.93050593874996,2.8222346e-22
PARP1,DNA REPAIR / COMPOSITE TYPE,3.6359617710113525,3.2146449089050293,13.106171102730968,7.825593e-14
AR,HETEROGENEITY PROBES,3.3703341484069824,4.052392959594727,-16.831013625488968,2.6152295e-05
CLDN3,HETEROGENEITY PROBES,5.291266918182373,4.5844244956970215,15.418345817425932,0.0
CLDN4,HETEROGENEITY PROBES,6.162576198577881,6.92576265335083,-11.0195294435004,1.07706345e-32
AURKA,HETEROGENEITY PROBES,0.20809297263622284,0.061375051736831665,239.0514007686686,4.5497794e-07
CDX2,CROSS-CANCER CONTROLS,0.0037418524734675884,0.0,inf,0.31160715
SPI1,CROSS-CANCER CONTROLS,0.025527426972985268,0.056011661887168884,-54.4247999204018,0.012614873
MBP,CROSS-CANCER CONTROLS,0.5932814478874207,0.9195408821105957,-35.4806883054858,1.3544691e-09
NKX2-1,CROSS-CANCER CONTROLS,0.0,0.0,0.0,1.0
OLIG2,CROSS-CANCER CONTROLS,0.0,0.0,0.0,1.0
